,0
peg_lipid__freq_rank,0.24464712715874448
ratio_helper,0.21543228854816657
particle_size_nm_std,0.09201530477747281
ratio_ionizable_norm,0.07991147931688433
ratio_peg,0.07806575295043451
ionizable_lipid__freq_rank,0.06990779067468281
synth_ph,0.04144577752830095
ratio_ionizable,0.04091437526757859
pdi_std,0.031300878051267626
synth_flow_ratio,0.026050311722784287
ratio_sterol,0.025182980853852722
target_difficulty,0.02362847968391951
pdi_std__missing,0.01486117822723331
synth_microfluidic,0.007538883518077009
synth_is_microfluidic,0.0075233068426790095
synth_ethanol_injection,0.0072112340570661525
zeta_potential_mv_std__missing,0.005014912915651141
target_siRNA,0.004810631242982499
helper_lipid__freq_rank,0.004311708808051541
synth_flow_rate,0.0031435631008829416
target_mRNA,0.00169573322842013
zeta_potential_mv_std,0.001432396069395635
synth_nanoprecipitation,0.0003849489714611531
ionizable_lipid__HAcc,0.0
ionizable_lipid__MW,0.0
ionizable_lipid_smiles_valid,0.0
particle_size_nm_std__missing,0.0
ionizable_lipid__RotBonds,0.0
ionizable_lipid__TPSA,0.0
ionizable_lipid__HDon,0.0
ionizable_lipid__LogP,0.0
ionizable_lipid__RingCount,0.0
ionizable_lipid__FractionCSP3,0.0
peg_lipid_smiles_valid,0.0
ionizable_lipid__AromaticRings,0.0
ionizable_lipid__HeavyAtomCount,0.0
peg_lipid__HAcc,0.0
peg_lipid__HDon,0.0
peg_lipid__TPSA,0.0
peg_lipid__LogP,0.0
peg_lipid__RingCount,0.0
peg_lipid__AromaticRings,0.0
peg_lipid__MW,0.0
peg_lipid__RotBonds,0.0
helper_lipid__HDon,0.0
helper_lipid__HAcc,0.0
helper_lipid__RotBonds,0.0
helper_lipid__MW,0.0
helper_lipid_smiles_valid,0.0
sterol_lipid__FractionCSP3,0.0
sterol_lipid__HeavyAtomCount,0.0
sterol_lipid__AromaticRings,0.0
sterol_lipid__RingCount,0.0
sterol_lipid__LogP,0.0
sterol_lipid__TPSA,0.0
sterol_lipid__HDon,0.0
sterol_lipid__HAcc,0.0
sterol_lipid__RotBonds,0.0
sterol_lipid__MW,0.0
sterol_lipid_smiles_valid,0.0
peg_lipid__FractionCSP3,0.0
peg_lipid__HeavyAtomCount,0.0
helper_lipid__RingCount,0.0
helper_lipid__AromaticRings,0.0
helper_lipid__HeavyAtomCount,0.0
helper_lipid__FractionCSP3,0.0
feat__il_logp_x_ratio,0.0
feat__peg_mw_x_ratio,0.0
helper_lipid__TPSA,0.0
helper_lipid__LogP,0.0
target_ASO,0.0
target_DNA,0.0
synth_bulk,0.0
target_empty,0.0
synth_unknown,0.0
sterol_lipid__freq_rank,0.0
